id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,0.6666666666666666,0.0,0.9333333333333332,0.125,1.0,0.6964073181152344,1.0000000000000004
movie_solar,1.0,0.3333333333333333,0.0,1.0,0.25,1.0,0.5904376904169718,1.0000000000000016
coffee_roast,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.6985287070274353,1.0000000000000002
museum_bauhaus,1.0,1.0,0.0,1.0,0.1111111111111111,1.0,0.6907332936922709,1.0000000000000007
concert_neon,1.0,0.6666666666666666,0.0,1.0,0.2222222222222222,1.0,0.7226171096165975,1.0000000000000004
book_orbit,1.0,1.0,0.0,0.6666666666666666,0.14285714285714285,1.0,0.6364912192026774,1.0000000000000007
food_ramen,1.0,1.0,0.0,1.0,0.14285714285714285,1.0,0.7340596516927084,0.9999999999999997
tech_summit,1.0,0.0,0.0,0.8888888888888888,0.14285714285714285,1.0,0.6555778384208679,1.0
fitness_launch,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.6890051166216532,1.0000000000000007
education_space,1.0,0.3333333333333333,0.0,0.5555555555555555,0.125,1.0,0.6420164704322815,1.0000000000000004
